trial,examine,finalist,sla,depl_cat,depl_5th_ptile,depl_median,landing_median
GB01A,,,1,final,0.856,0.88,2.42
GB01B,,,1,final,0.669,0.711,2.47
GB01C,TRUE,TRUE,1,final,0.259,0.343,2.47
GB01D,,,1,final,0.685,0.722,2.48
GB02A,,,1,final,0.856,0.881,2.41
GB02B,TRUE,TRUE,1,final,0.623,0.666,2.47
GB02D,,,1,final,0.651,0.683,2.49
GB03A,,,1,final,0.859,0.879,2.42
GB03B,,,1,final,0.66,0.693,2.47
GB04A,,,1,final,0.857,0.88,2.43
GB04B,,,1,final,0.71,0.746,2.49
GB05A,,,1,final,0.855,0.874,2.43
GB05B,,,1,final,0.731,0.763,2.47
GB06A,,,1,final,0.849,0.871,2.41
GB06B,,,1,final,0.657,0.696,2.46
GB07A,,,1,final,0.982,1,2.45
GB07B,,,1,final,0.886,0.954,2.48
GB08A,TRUE,,1,final,0.741,0.769,2.38
GB08B,TRUE,TRUE,1,final,0.357,0.458,2.28
GB09A,TRUE,,1,final,0.927,0.952,2.43
GB09B,TRUE,TRUE,1,final,0.807,0.852,2.52
GB10A,TRUE,TRUE,1,final,0.792,0.812,2.04
GB10B,TRUE,TRUE,1,final,0.492,0.556,2.06
GB11A,,,1,final,0.857,0.879,3.76
GB11B,,,1,final,0.67,0.711,3.79
GB12A,,,1,final,0.873,0.89,0.97
GB12B,,,1,final,0.705,0.739,0.98
GP01A,,,1,final,0.859,0.877,2.43
GP01B,,,1,final,0.663,0.702,2.48
GP01C,TRUE,TRUE,1,final,0.382,0.461,2.34
GP01D,,,1,final,0.669,0.709,2.49
GP02A,,,1,final,0.858,0.876,2.4
GP02B,TRUE,TRUE,1,final,0.592,0.642,2.46
GP02C,,TRUE,1,final,0.231,0.272,2.17
GP02D,,,1,final,0.631,0.678,2.46
GP03A,,,1,final,0.857,0.876,2.43
GP03B,,,1,final,0.635,0.682,2.47
GP04A,,,1,final,0.853,0.873,2.39
GP04B,,,1,final,0.696,0.731,2.49
GP05B,,,1,final,0.712,0.747,2.49
GP06A,,,1,final,0.848,0.867,2.43
GP06B,,,1,final,0.643,0.684,2.46
GP07A,,,1,final,0.974,0.996,2.47
GP07B,,,1,final,0.876,0.941,2.49
GP08A,TRUE,,1,final,0.728,0.762,2.42
GP08B,TRUE,TRUE,1,final,0.33,0.442,2.28
GP09A,TRUE,,1,final,0.925,0.946,2.46
GP09B,TRUE,TRUE,1,final,0.786,0.845,2.52
GP10A,TRUE,TRUE,1,final,0.781,0.806,2.1
GP10B,TRUE,TRUE,1,final,0.475,0.536,2.02
GP11A,,,1,final,0.858,0.875,3.77
GP11B,,,1,final,0.663,0.699,3.78
GP12A,,,1,final,0.866,0.887,0.98
GP12B,,,1,final,0.697,0.729,0.97
GP13A,,,1,final,0.856,0.876,2.43
GP13B,,,1,final,0.675,0.709,2.44
GP13C,TRUE,TRUE,1,final,0.392,0.464,2.36
GP14A,,,1,final,0.86,0.877,2.48
GP14B,,,1,final,0.666,0.699,2.49
GI01A,,,1,final,0.86,0.877,2.48
GI01B,,,1,final,0.666,0.699,2.49
GI01C,TRUE,TRUE,1,final,0.378,0.446,2.38
GI01D,,,1,final,0.669,0.708,2.49
GI02A,,,1,final,0.853,0.876,2.46
